                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1607,                 2.0574,                 1.2343,                0.94265,                0.64154,                0.81768,                0.58513,                 1.2234,                 2.6072,                 1.3058,             0.00066013,             0.00066013,             0.00066013
                      2,                 1.1376,                  1.283,                 1.1749,                0.77381,                0.75033,                0.74844,                0.52783,                 1.2411,                 1.7412,                 1.4119,              0.0013137,              0.0013137,              0.0013137
                      1,                 1.1628,                   2.05,                 1.2353,                0.94565,                0.54977,                0.82161,                0.57433,                 1.1563,                 2.7142,                 1.2432,             0.00066013,             0.00066013,             0.00066013
                      2,                  1.135,                 1.2803,                 1.1688,                0.84556,                0.79926,                0.84948,                0.60204,                 1.1861,                 1.5182,                 1.3102,              0.0013137,              0.0013137,              0.0013137
                      3,                 1.1485,                 1.0818,                 1.1818,                 0.8975,                0.79745,                 0.8586,                0.62525,                  1.192,                 1.3088,                 1.3191,               0.001954,               0.001954,               0.001954
                      4,                 1.1303,                0.96457,                 1.1639,                0.93417,                0.78625,                0.88408,                 0.6308,                 1.2559,                 1.1009,                 1.3318,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1107,                0.88263,                 1.1624,                0.87569,                0.84572,                0.89228,                 0.6339,                  1.175,                 1.1542,                 1.2612,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.0813,                 0.8365,                 1.1434,                0.89727,                0.84944,                0.89202,                0.64631,                 1.1542,                 1.3342,                 1.2523,               0.001901,               0.001901,               0.001901
                      7,                 1.0726,                0.80415,                  1.135,                0.90023,                0.87361,                0.90353,                0.67736,                 1.1211,                 1.0172,                 1.2206,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.0355,                0.76409,                 1.0989,                0.89754,                0.87928,                0.91357,                  0.659,                 1.1654,                0.91446,                 1.2862,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.0471,                0.75922,                 1.1149,                 0.9112,                0.86059,                 0.8984,                0.68256,                 1.0976,                0.92165,                 1.2282,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.0203,                0.73153,                 1.0997,                0.93539,                0.85502,                0.92199,                0.69732,                 1.1136,                0.95781,                  1.265,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.0204,                0.71159,                 1.0936,                0.92281,                0.86663,                0.92548,                0.70133,                 1.0452,                0.90774,                 1.1951,               0.001802,               0.001802,               0.001802
                     12,                0.98581,                0.69422,                 1.0809,                 0.9042,                0.91229,                 0.9352,                0.69405,                 1.0915,                0.82444,                 1.2413,              0.0017822,              0.0017822,              0.0017822
                     13,                0.98516,                0.66347,                 1.0824,                0.93338,                0.85502,                0.92697,                0.68951,                 1.0193,                0.87378,                 1.1702,              0.0017624,              0.0017624,              0.0017624
                     14,                0.98127,                0.65029,                 1.0733,                0.92471,                0.89591,                0.93506,                0.70859,                 1.0458,                0.77686,                 1.2019,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.0013,                0.65384,                 1.0897,                0.93549,                0.87361,                0.92277,                0.68824,                 1.0845,                0.86884,                 1.2134,              0.0017228,              0.0017228,              0.0017228
                     16,                0.97099,                0.65004,                 1.0709,                0.91077,                0.86245,                0.90656,                0.68145,                 1.0485,                0.91936,                 1.2096,               0.001703,               0.001703,               0.001703
                     17,                0.96629,                0.64397,                 1.0739,                0.92989,                0.88104,                0.93334,                0.71954,                0.99093,                0.79975,                 1.1489,              0.0016832,              0.0016832,              0.0016832
                     18,                0.95158,                0.61756,                 1.0563,                0.94221,                0.87884,                0.92258,                 0.6998,                  1.023,                0.86392,                 1.1531,              0.0016634,              0.0016634,              0.0016634
                     19,                 0.9634,                0.62875,                 1.0769,                0.94593,                0.87796,                 0.9436,                0.71674,                 1.0531,                0.75995,                  1.208,              0.0016436,              0.0016436,              0.0016436
                     20,                0.94884,                0.62076,                 1.0637,                0.91988,                0.86245,                0.92211,                0.70021,                 1.0988,                0.81977,                 1.2104,              0.0016238,              0.0016238,              0.0016238
                     21,                0.93848,                0.60823,                 1.0536,                0.93327,                0.88387,                0.91933,                0.69926,                 1.0182,                0.76535,                  1.161,               0.001604,               0.001604,               0.001604
                     22,                0.93799,                0.61097,                 1.0551,                0.90952,                0.91078,                0.93074,                0.71852,                 1.0163,                0.85136,                 1.1628,              0.0015842,              0.0015842,              0.0015842
                     23,                0.93271,                0.60505,                 1.0548,                0.94018,                0.87646,                0.93259,                0.71141,                 1.0303,                0.77805,                 1.1638,              0.0015644,              0.0015644,              0.0015644
                     24,                0.92838,                0.60095,                 1.0568,                0.92665,                0.89236,                0.93098,                0.70782,                 1.0341,                0.85363,                 1.1636,              0.0015446,              0.0015446,              0.0015446
                     25,                0.92087,                0.59258,                 1.0417,                0.91469,                0.90892,                0.94182,                 0.7193,                 1.0154,                0.73113,                 1.1681,              0.0015248,              0.0015248,              0.0015248
                     26,                0.90847,                0.58433,                 1.0479,                0.92494,                0.89333,                0.93809,                0.72557,                0.97245,                0.76236,                 1.1266,               0.001505,               0.001505,               0.001505
                     27,                0.89759,                0.58166,                 1.0382,                0.93089,                 0.8763,                0.92318,                0.71566,                  1.027,                0.82317,                 1.1707,              0.0014852,              0.0014852,              0.0014852
                     28,                0.90523,                0.58784,                 1.0467,                0.90372,                0.90726,                0.94024,                0.72584,                0.96928,                0.73947,                 1.1276,              0.0014654,              0.0014654,              0.0014654
                     29,                0.91624,                 0.5753,                 1.0492,                0.91158,                0.90062,                0.94512,                0.72863,                0.98369,                0.71289,                 1.1286,              0.0014456,              0.0014456,              0.0014456
                     30,                0.90209,                0.56702,                 1.0367,                0.92298,                 0.9132,                0.94624,                0.72877,                0.98556,                 0.7517,                   1.15,              0.0014258,              0.0014258,              0.0014258
                     31,                 0.8932,                0.54759,                 1.0262,                 0.9427,                0.88675,                0.94048,                0.72511,                0.99977,                0.75703,                 1.1459,               0.001406,               0.001406,               0.001406
                     32,                0.90298,                0.55574,                 1.0337,                0.93615,                0.91078,                0.95672,                0.73687,                0.98707,                0.67325,                 1.1283,              0.0013862,              0.0013862,              0.0013862
                     33,                0.90009,                0.55466,                 1.0388,                0.90296,                0.91636,                0.93376,                0.71903,                  0.986,                0.75457,                 1.1287,              0.0013664,              0.0013664,              0.0013664
                     34,                0.89432,                0.55022,                 1.0368,                0.91358,                0.92349,                0.94929,                 0.7339,                0.96729,                 0.6763,                 1.1208,              0.0013466,              0.0013466,              0.0013466
                     35,                  0.877,                0.54114,                 1.0212,                0.93026,                0.91743,                0.94893,                0.73814,                0.95519,                 0.6856,                 1.1239,              0.0013268,              0.0013268,              0.0013268
                     36,                0.88326,                0.54779,                 1.0324,                 0.9161,                0.91329,                 0.9463,                0.73899,                0.95403,                0.68992,                 1.1175,               0.001307,               0.001307,               0.001307
                     37,                0.87481,                0.52837,                 1.0132,                0.92688,                0.89963,                0.95074,                0.73626,                 0.9665,                0.68728,                 1.1225,              0.0012872,              0.0012872,              0.0012872
                     38,                0.87645,                0.53558,                 1.0361,                 0.9149,                0.91636,                0.94207,                0.72767,                0.96966,                0.71144,                 1.1393,              0.0012674,              0.0012674,              0.0012674
                     39,                0.87558,                0.53114,                 1.0232,                0.91657,                 0.9145,                0.94933,                0.73821,                0.96682,                0.65635,                 1.1405,              0.0012476,              0.0012476,              0.0012476
                     40,                0.86455,                0.52013,                  1.029,                0.94351,                0.90029,                0.94933,                0.73252,                0.94801,                0.66985,                 1.1165,              0.0012278,              0.0012278,              0.0012278
                     41,                 0.8674,                0.52673,                 1.0284,                 0.9267,                0.91636,                0.95336,                0.74611,                0.94854,                0.64439,                 1.1171,               0.001208,               0.001208,               0.001208
                     42,                0.85256,                0.51869,                 1.0187,                0.90876,                0.92007,                 0.9536,                0.73492,                0.97844,                0.66773,                 1.1286,              0.0011882,              0.0011882,              0.0011882
                     43,                 0.8706,                0.52011,                 1.0232,                0.92164,                0.89627,                0.94365,                0.73169,                0.93974,                0.66496,                 1.0967,              0.0011684,              0.0011684,              0.0011684
                     44,                0.85535,                0.49783,                 1.0072,                0.92909,                0.92547,                0.95853,                0.74279,                0.94839,                0.65351,                 1.1222,              0.0011486,              0.0011486,              0.0011486
                     45,                0.84886,                0.49981,                 1.0194,                 0.9444,                0.91551,                0.95187,                0.74665,                0.91786,                0.63486,                 1.0971,              0.0011288,              0.0011288,              0.0011288
                     46,                0.84854,                0.49862,                 1.0136,                0.93689,                0.91078,                0.94383,                0.73619,                0.94506,                0.64927,                 1.1123,               0.001109,               0.001109,               0.001109
                     47,                0.84944,                0.49636,                 1.0134,                 0.9179,                0.90706,                0.95051,                0.74389,                0.91652,                0.64778,                 1.0971,              0.0010892,              0.0010892,              0.0010892
                     48,                0.84883,                0.49375,                 1.0095,                0.91105,                0.93494,                0.95339,                0.74376,                0.94718,                 0.6306,                  1.098,              0.0010694,              0.0010694,              0.0010694
                     49,                0.83194,                0.48235,                0.99957,                0.92875,                0.92066,                0.95763,                0.74992,                0.91652,                0.62064,                 1.0933,              0.0010496,              0.0010496,              0.0010496
                     50,                0.83317,                0.49935,                 1.0118,                0.93845,                0.90335,                0.95124,                 0.7383,                0.94197,                0.66833,                 1.1105,              0.0010298,              0.0010298,              0.0010298
                     51,                0.82019,                0.48248,                 1.0066,                0.93223,                0.90706,                0.95361,                 0.7467,                0.90841,                0.64108,                 1.0918,                0.00101,                0.00101,                0.00101
                     52,                 0.8304,                0.47593,                 1.0033,                0.92357,                0.92193,                0.95199,                0.74242,                0.92153,                0.64673,                 1.0989,              0.0009902,              0.0009902,              0.0009902
                     53,                0.81507,                0.48066,                 1.0049,                0.94314,                0.91636,                0.96036,                0.75626,                0.90936,                0.59585,                 1.0966,              0.0009704,              0.0009704,              0.0009704
                     54,                0.81528,                0.47552,                  1.001,                0.93711,                0.91398,                 0.9574,                0.74707,                0.92229,                0.61957,                 1.1086,              0.0009506,              0.0009506,              0.0009506
                     55,                0.81987,                0.47491,                 1.0026,                0.93103,                0.92844,                 0.9496,                0.74952,                0.90683,                 0.6235,                 1.0909,              0.0009308,              0.0009308,              0.0009308
                     56,                0.80351,                0.46414,                      1,                0.94304,                0.92007,                0.95703,                0.74868,                0.92524,                0.65446,                 1.1103,               0.000911,               0.000911,               0.000911
